3,"Kalimdor","Interface\Glues\LoadingScreens\LoadScreenKalimdor.blp",
4,"Azeroth","Interface\Glues\LoadingScreens\LoadScreenEasternKingdom.blp",
21,"InstanceCave","Interface\Glues\LoadingScreens\LoadScreenCave.blp",
23,"InstanceDungeon","Interface\Glues\LoadingScreens\LoadScreenDungeon.blp",
25,"InstanceExterior","Interface\Glues\LoadingScreens\LoadScreenEnviroment.blp",
42,"InstanceRuinedCity","Interface\Glues\LoadingScreens\LoadScreenRuinedCity.blp",
61,"InstanceRaid","Interface\Glues\LoadingScreens\LoadScreenRaid.blp",
81,"InstanceMaraudon","Interface\Glues\LoadingScreens\LoadScreenMaraudon.blp",
82,"InstanceDireMaul","Interface\Glues\LoadingScreens\LoadScreenDireMaul.blp",
101,"InstanceStratholme","Interface\Glues\LoadingScreens\LoadScreenStrathome.blp",
102,"InstanceScholomance","Interface\Glues\LoadingScreens\LoadScreenScholomance.blp",
103,"InstanceBlackrockDepths","Interface\Glues\LoadingScreens\LoadScreenBlackrockDepths.blp",
104,"InstanceAlteracValley","Interface\Glues\LoadingScreens\LoadScreenPvpBattleground.blp",
122,"InstanceWarsongGulch","Interface\Glues\LoadingScreens\LoadScreenWarsongGulch.blp",
141,"InstanceBlackWingLair","Interface\Glues\LoadingScreens\LoadScreenBlackWingLair.blp",
142,"InstanceDeadmines","Interface\Glues\LoadingScreens\LoadScreenDeadmines.blp",
143,"InstanceWailingCaverns","Interface\Glues\LoadingScreens\LoadScreenWailingCaverns.blp",
144,"InstanceUldaman","Interface\Glues\LoadingScreens\LoadScreenUldaman.blp",
145,"InstanceRazorfenD","Interface\Glues\LoadingScreens\LoadScreenRazorfenDowns.blp",
146,"InstanceZulFarrak","Interface\Glues\LoadingScreens\LoadScreenZulFarrak.blp",
161,"InstanceZulGurub","Interface\Glues\LoadingScreens\LoadScreenZulGurub.blp",
181,"ChampionsHall","Interface\Glues\LoadingScreens\LoadScreenChampionsHall.blp",
182,"HallOfLegends","Interface\Glues\LoadingScreens\LoadScreenHallofLegends.blp",
183,"InstanceArathiBasin","Interface\Glues\LoadingScreens\LoadscreenArathiBasin.blp",
184,"InstanceAhnQiraj20","Interface\Glues\LoadingScreens\LoadScreenAhnQiraj20man.blp",
185,"InstanceAhnQiraj40","Interface\Glues\LoadingScreens\LoadScreenAhnQiraj40man.blp",
186,"InstanceStormwindStockade","Interface\Glues\LoadingScreens\LoadScreenStormwindStockade.blp",
187,"InstanceBlackfathomDeep","Interface\Glues\LoadingScreens\LoadScreenBlackFathomDeeps.blp",
