461,-320022004296525960000000000000000000000.000000,-227760081417220610000000000000000000000.000000,-194072459399046650000000000000000000000.000000,-170141183460469230000000000000000000000.000000,-170141183460469230000000000000000000000.000000,-170141183460469230000000000000000000000.000000,-170141183460469230000000000000000000000.000000,-170141183460469230000000000000000000000.000000,-170141183460469230000000000000000000000.000000,
462,-1.#QNAN0,-200709350599191960000000000000000000000.000000,-170728562042590980000000000000000000000.000000,-1.#QNAN0,-200709350599191960000000000000000000000.000000,-170728562042590980000000000000000000000.000000,-1.#QNAN0,-200709350599191960000000000000000000000.000000,-170728562042590980000000000000000000000.000000,
281,-170141183460469230000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-170141183460469230000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-170141183460469230000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
282,-170179598344258550000000000000000000000.000000,-170605366686658400000000000000000000000.000000,-170652097358385220000000000000000000000.000000,-315622972759999560000000000000000000000.000000,-170881795647146570000000000000000000000.000000,-171111433088679120000000000000000000000.000000,-245054141637099050000000000000000000000.000000,-171350096202485290000000000000000000000.000000,-1.#QNAN0,
283,-170179598344258550000000000000000000000.000000,-170667674248960820000000000000000000000.000000,-170652097358385220000000000000000000000.000000,-315628165056858090000000000000000000000.000000,-170600722014859170000000000000000000000.000000,-170772351764925270000000000000000000000.000000,-245059354216367190000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
284,-171454814283268940000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-171468383215293780000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-182108109362767770000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
442,-175037539680477180000000000000000000000.000000,-199088279011620100000000000000000000000.000000,-201113234221629480000000000000000000000.000000,-293453041553812850000000000000000000000.000000,-269372263974046920000000000000000000000.000000,-317126933714519930000000000000000000000.000000,-216144933627087800000000000000000000000.000000,-304391040816918140000000000000000000000.000000,-233938934961286660000000000000000000000.000000,
285,-171465219159395610000000000000000000000.000000,-1.#QNAN0,0.000000,-170774643677210480000000000000000000000.000000,-235268162957071570000000000000000000000.000000,0.000000,-215694339615333080000000000000000000000.000000,-253269856165611820000000000000000000000.000000,0.000000,
286,-177924051085630470000000000000000000000.000000,-220355521295986680000000000000000000000.000000,-178074080069468680000000000000000000000.000000,-171454084116523210000000000000000000000.000000,-1.#QNAN0,-171075573788499860000000000000000000000.000000,-253616725934653470000000000000000000000.000000,-1.#QNAN0,-177919223872144800000000000000000000000.000000,
287,-179440587134105110000000000000000000000.000000,0.000000,0.000000,-170904674205179490000000000000000000000.000000,0.000000,0.000000,-216665319410288700000000000000000000000.000000,0.000000,0.000000,
288,-188745183104599520000000000000000000000.000000,0.000000,0.000000,-170956516044126430000000000000000000000.000000,0.000000,0.000000,-216665319410288700000000000000000000000.000000,0.000000,0.000000,
289,-213990110148386250000000000000000000000.000000,-213990110148386250000000000000000000000.000000,-1.#QNAN0,-340194077591933770000000000000000000000.000000,-340194077591933770000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
290,-250625090800524460000000000000000000000.000000,-1.#QNAN0,-170834213114216410000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-221692963667661080000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
291,-257740403478400710000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-296277407655940560000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
292,-259229314884995170000000000000000000000.000000,-333832783773482870000000000000000000000.000000,-291347666589725000000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-296421554740993710000000000000000000000.000000,-311365694984193070000000000000000000000.000000,-1.#QNAN0,-312563756637071170000000000000000000000.000000,
293,-268088772811918240000000000000000000000.000000,-220337530798668240000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-327800835722176070000000000000000000000.000000,
294,-272540437201366120000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-292489911051373850000000000000000000000.000000,-1.#QNAN0,
295,-287945961698229350000000000000000000000.000000,-250988328474116250000000000000000000000.000000,-1.#QNAN0,-288262671524190370000000000000000000000.000000,-1.#QNAN0,-326650883944877830000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
296,-305723128632457170000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
